"","iso3","count_respondents","scope","gender","quintile","twe_usd_pc","twe_usd_pc_low","twe_usd_pc_upp","twe_usd","twe_usd_low","twe_usd_upp","access_water_piped_house","access_water_piped_house_low","access_water_piped_house_upp","access_water_piped_plot","access_water_piped_plot_low","access_water_piped_plot_upp","water_trucked","water_trucked_low","water_trucked_upp","water_on_premises","water_on_premises_low","water_on_premises_upp","water_distr","water_distr_low","water_distr_upp","consume_distr","consume_distr_low","consume_distr_upp","consume_other","consume_other_low","consume_other_upp","consume_bottled","consume_bottled_low","consume_bottled_upp","improved_w_access","improved_w_access_low","improved_w_access_upp","water_daily","water_daily_low","water_daily_upp","water_dist_daily","water_dist_daily_low","water_dist_daily_upp","access_water_piped_house_daily","access_water_piped_house_daily_low","access_water_piped_house_daily_upp","access_water_piped_plot_daily","access_water_piped_plot_daily_low","access_water_piped_plot_daily_upp","w_dist_treatment","w_dist_treatment_low","w_dist_treatment_upp","w_treatment","w_treatment_low","w_treatment_upp","reason_w_treatment_taste","reason_w_treatment_taste_low","reason_w_treatment_taste_upp","reason_w_treatment_color","reason_w_treatment_color_low","reason_w_treatment_color_upp","reason_w_treatment_quality","reason_w_treatment_quality_low","reason_w_treatment_quality_upp","reason_w_treatment_continuity","reason_w_treatment_continuity_low","reason_w_treatment_continuity_upp","bottled_color","bottled_color_low","bottled_color_upp","bottled_continuity","bottled_continuity_low","bottled_continuity_upp","bottled_quality","bottled_quality_low","bottled_quality_upp","bottled_custom","bottled_custom_low","bottled_custom_upp","bottled_taste","bottled_taste_low","bottled_taste_upp","piped_ou","piped_ou_low","piped_ou_upp","other_ou","other_ou_low","other_ou_upp","unimproved_ou","unimproved_ou_low","unimproved_ou_upp","we_piped_water","we_piped_water_low","we_piped_water_upp","we_bottled","we_bottled_low","we_bottled_upp","we_trucked","we_trucked_low","we_trucked_upp","satisfied_service","satisfied_service_low","satisfied_service_upp","unsatisfied_service","unsatisfied_service_low","unsatisfied_service_upp","access_san_exclusive","access_san_exclusive_low","access_san_exclusive_upp","access_sewer","access_sewer_low","access_sewer_upp","access_septic","access_septic_low","access_septic_upp","access_latrine","access_latrine_low","access_latrine_upp","improved_san","improved_san_low","improved_san_upp","access_sewer_exclusive","access_sewer_exclusive_low","access_sewer_exclusive_upp","access_septic_exclusive","access_septic_exclusive_low","access_septic_exclusive_upp","access_latrine_exclusive","access_latrine_exclusive_low","access_latrine_exclusive_upp","improved_san_exclusive","improved_san_exclusive_low","improved_san_exclusive_upp","no_san_access","no_san_access_low","no_san_access_upp","open_def","open_def_low","open_def_upp","access_latrines_unimproved","access_latrines_unimproved_low","access_latrines_unimproved_upp","access_latrines_unimproved_exclusive","access_latrines_unimproved_exclusive_low","access_latrines_unimproved_exclusive_upp","sewage_treated","sewage_treated_low","sewage_treated_upp","sewage_dont_know","sewage_dont_know_low","sewage_dont_know_upp","sewage_contaminates","sewage_contaminates_low","sewage_contaminates_upp","year"
"1","ARG",1539,"country","all","total",3.69604071015538,3.22720627936313,4.16487514094762,10.5024479668375,8.98160882205293,12.0232871116221,0.611127779619116,0.581146869783405,0.641108689454826,0.0316980756034992,0.0192995701727635,0.044096581034235,0.0036536961069554,0.000184092694730015,0.00712329951918079,0.733253141388259,0.706484713932979,0.76002156884354,0.843657042243087,0.820572842362825,0.866741242123349,0.642825855222615,0.613507204719047,0.672144505726183,0.331166720829622,0.302430631174778,0.359902810484466,0.225894617632835,0.200913388897762,0.250875846367907,0.973992576052237,0.963757392707004,0.98422775939747,0.684755037281067,0.65514433160638,0.714365742955754,0.678414938455958,0.646479592847675,0.710350284064241,0.413903550166414,0.38367095564426,0.444136144688568,0.0150029012311548,0.00648644508628783,0.0235193573760218,0.313359144751418,0.278212597844101,0.348505691658735,0.310812843715615,0.278555260290516,0.343070427140715,0.0337182470319259,0.0231930822658383,0.0442434117980135,0.0159784638529085,0.00698155226608575,0.0249753754397313,0.130563192763832,0.110641737617375,0.15048464791029,0.0049781071875397,0.00166318523021655,0.00829302914486286,0.00761866044107858,0.000622876060748416,0.0146144448214087,0.0331107525140842,0.00763984384281946,0.0585816611853489,0.574003156613822,0.511948236061208,0.636058077166436,0.0403037036927359,0.0216366288254056,0.0589707785600661,0.140317515306253,0.0964294974205231,0.184205533191983,0.82289769370872,0.798498381471368,0.847297005946072,0.143545956001812,0.121622342967929,0.165469569035696,0.00861153824327994,0.00189011947587746,0.0153329570106824,12.5537367623017,9.56115844644584,15.5463150781575,14.8409615866679,13.3515486684496,16.3303745048862,0,0,0,0,0,0,0,0,0,0.955385080364845,0.941813690680514,0.968956470049177,0.539543909721935,0.508534686573393,0.570553132870478,0.397076909735129,0.366468592260812,0.427685227209446,0.00427111487032009,0.000162168018817832,0.00838006172182235,0.940891934327385,0.925284280926443,0.956499587728326,0.5150954768448,0.484189164503217,0.546001789186383,0.382130647121939,0.351788394162201,0.412472900081677,0.0028623854352585,-0.000198778840397839,0.00592354971091484,0.900088509401997,0.880395655070737,0.919781363733258,0.00471955280972871,0.00051379058939612,0.00892531503006129,0,0,0,0.0591080656726154,0.0435004122716739,0.0747157190735569,0.0999114905980025,0.0802186362667422,0.119604344929263,0.124167141326838,0.105513629864066,0.14282065278961,0.524955992253216,0.449110111215877,0.600801873290556,0.0696389820748289,0.0542824895433702,0.0849954746062876,2021
"2","BOL",1526,"country","all","total",3.10792304594033,2.79170919671652,3.42413689516415,12.3035642154724,11.2653462719686,13.3417821589761,0.603019514386554,0.574169078762537,0.631869950010572,0.067763951787078,0.0527634106301324,0.0827644929440236,0.0157142865309549,0.00869645232924634,0.0227321207326635,0.764785151653459,0.740278178329326,0.789292124977592,0.799585146271222,0.775395923857427,0.823774368685016,0.670783466173632,0.643089270834622,0.698477661512642,0.236324566519048,0.211183337237995,0.261465795800101,0.136816169499086,0.116936374525993,0.156695964472179,0.907108032692681,0.890219663625433,0.923996401759928,0.622163120228188,0.590600011454709,0.653726229001666,0.634493915997612,0.60044589144459,0.668541940550634,0.36747159552517,0.338206982721642,0.396736208328698,0.0256284927026751,0.0161896412512209,0.0350673441541293,0.670495825764292,0.636751432680815,0.704240218847768,0.670654646058716,0.640951096130788,0.700358195986644,0.00885216447902331,0.00288710907506241,0.0148172198829842,0.000596494064686871,-0.000572857022348072,0.00176584515172181,0.314030609624333,0.286747832677422,0.341313386571244,0.00351950624439602,0.000345425036755275,0.00669358745203676,0,0,0,0.00760727505930357,-0.00299734419916046,0.0182118943177676,0.469807410584121,0.391199990823881,0.548414830344361,0.0148463894079294,-0.00163364561633909,0.0313264244321979,0.08803054007129,0.0426613527872986,0.133399727355281,0.753315206206667,0.726416378746329,0.780214033667004,0.110454039772194,0.0917827308261102,0.129125348718279,0.0334160603388057,0.02198963333107,0.0448424873465414,10.8815725923723,9.99607476956732,11.7670704151773,12.7786174931869,11.230083856744,14.3271511296298,25.019351094825,16.7176814930922,33.3210206965577,0.723404945269888,0.696759535452282,0.750050355087495,0.276595054730112,0.249949644912505,0.303240464547718,0.852006160167281,0.831279426106781,0.872732894227781,0.606759539140443,0.577597235100681,0.635921843180204,0.174695075762617,0.152369569492196,0.197020582033038,0.0132663917301892,0.00587159501767238,0.0206611884427061,0.794721006633249,0.770242519022759,0.819199494243738,0.518163624805271,0.488903834006279,0.547423415604264,0.149640158603766,0.129038359834941,0.170241957372591,0.0108439834228551,0.00426876455500618,0.0174192022907039,0.678647766831892,0.65110801951085,0.706187514152934,0.0341242892560847,0.0226824735373077,0.0455661049748616,0.0182758903327065,0.00996141287071216,0.0265903677947007,0.205278993366751,0.180800505756262,0.229757480977241,0.321352233168108,0.293812485847066,0.34889198048915,0.0522377826640225,0.0396786011068665,0.0647969642211785,0.751288699343548,0.632067826076067,0.870509572611029,0.0229545045988757,0.0141606847083716,0.0317483244893799,2021
"3","BRA",1494,"country","all","total",22.9697304030829,6.85741157556955,39.0820492305962,54.0320407253911,21.7109355808137,86.3531458699684,0.594527506530426,0.558686911215758,0.630368101845093,0.0177288057516641,0.0075393465656966,0.0279182649376316,0.00500844673948876,-0.000830001393206881,0.0108468948721844,0.707177998466146,0.674423270418269,0.739932726514023,0.862320035801003,0.836892951036956,0.887747120565051,0.61225631228209,0.57676707835259,0.64774554621159,0.281622672105602,0.249197838319195,0.314047505892008,0.167467713337439,0.141413197491995,0.193522229182884,0.893878984387691,0.871305889167921,0.916452079607462,0.677125830047474,0.640668608147407,0.713583051947541,0.676969600301393,0.637975318650555,0.715963881952231,0.39514762494821,0.358600292879653,0.431694957016767,0.00310985391002309,-0.001100230066116,0.00731993788616217,0.549452945540834,0.501402819988737,0.597503071092932,0.577634122467054,0.537017026747371,0.618251218186737,0.0253478045844753,0.0141781138550671,0.0365174953138835,0.0180546062521377,0.00812210457736876,0.0279871079269067,0.209314251553619,0.180609878887016,0.238018624220223,0.00314787089616633,-0.00041637280451392,0.00671211459684657,0.036149640478796,0.00485075586516812,0.0674485250924238,0,0,0,0.511230507020954,0.426285891421125,0.596175122620782,0.0187953005827297,0.00605495007716705,0.0315356510882923,0.124618895289769,0.0684454714388526,0.180792319140685,0.824997464071235,0.79635663171791,0.85363829642456,0.107785951581932,0.0856412682347829,0.12993063492908,0.0125015190467665,0.00406892534832379,0.0209341127452092,70.0446455640161,23.0649000598043,117.024391068228,26.5294577439059,15.466387779537,37.5925277082747,0,0,0,0.68363446596317,0.649495238368212,0.717773693558128,0.31636553403683,0.282226306441872,0.350504761631788,0.982341947566756,0.971851114765967,0.992832780367544,0.633743168075529,0.597852528602584,0.669633807548475,0.271335282690821,0.238322385256242,0.3043481801254,0.00414960537082375,-0.000301144849656509,0.00860035559130402,0.909228056137174,0.886791876154256,0.931664236120092,0.623334355459848,0.587309976758957,0.659358734160739,0.266371215340432,0.233665394227664,0.2990770364532,0.0041294382347815,-0.000299726620601886,0.00855860309016489,0.893835009035061,0.86974980382561,0.917920214244512,0.00467612119726987,-0.000556919499745122,0.00990916189428486,0.00355629169111578,-0.00139986538056754,0.00851244876279909,0.0907719438628262,0.0683357638799085,0.113208123845744,0.106164990964939,0.0820797857554883,0.13025019617439,0.144613585596158,0.121641788439315,0.167585382753001,0.636533531360997,0.51053282006237,0.762534242659623,0.02007269472072,0.0103342588954052,0.0298111305460348,2021
"4","CHL",1492,"country","all","total",11.901650123263,11.2265644770864,12.5767357694395,37.5189434819831,35.2843503689654,39.7535365950007,0.716067140214834,0.689769330377555,0.742364950052114,0.00496232588761594,0.00114174449024491,0.00878290728498698,0.00566198945971042,0.0011763989387556,0.0101475799806652,0.753741809581959,0.728738126769804,0.778745492394114,0.949437090803701,0.936602278391308,0.962271903216095,0.72102946610245,0.694863488604918,0.747195443599982,0.271095883687129,0.24516689565386,0.297024871720399,0.232012507538511,0.20757858245922,0.256446432617803,0.99212534978958,0.987072155189202,0.997178544389957,0.794694006757225,0.770056112711996,0.819331900802455,0.804972974059291,0.780154600659318,0.829791347459263,0.576501041227909,0.546994500222776,0.606007582233042,0.0027824976895342,-8.44609296267364e-06,0.00557344147203107,0.283183235454738,0.251016347153369,0.315350123756107,0.292592967354432,0.26118524646936,0.324000688239504,0.0282738280582229,0.0188428973687932,0.0377047587476526,0.00350377919625468,-0.000473815759832386,0.00748137415234174,0.143623289137151,0.122528479866145,0.164718098408158,0.00855255123951075,0.00315527611817485,0.0139498263608467,0,0,0,0.00559828772669885,-0.000948335516874087,0.0121449109702718,0.658871436641883,0.602853599419185,0.714889273864582,0.0359340290048345,0.00982306220185177,0.0620449958078173,0.195622917368125,0.149508933867202,0.241736900869047,0.940494900158526,0.926643978679055,0.954345821637997,0.0445999371727603,0.0325496723965972,0.0566502019489234,0.00477072987505898,0.00116405057610343,0.00837740917401453,34.0642562433369,32.123370897734,36.0051415889399,18.4955529306276,16.931020699172,20.0600851620832,11.4349911964771,1.29974399262932,21.570238400325,0.722505652156402,0.695643532665804,0.749367771647,0.277494347843598,0.250632228353,0.304356467334196,0.968638609951746,0.958013250510312,0.979263969393181,0.886551764475824,0.868046758190377,0.905056770761271,0.091609895457326,0.074999114067474,0.108220676847178,0.0012114803811284,-0.00017278011118249,0.0025957408734393,0.979373140314278,0.970495595859657,0.9882506847689,0.859092173981925,0.838571476831146,0.879612871132704,0.0875402916201357,0.0712696085796237,0.103810974660648,0.00120860027853385,-0.00017236795675233,0.00258956851382002,0.947841065880594,0.934146252618725,0.961535879142464,0.00236080146238719,-0.00020077657606991,0.00492237950084429,0.000503784196845374,-0.000483938090771788,0.00149150648446254,0.0206268596857217,0.0117493152311003,0.0295044041403431,0.0521589341194058,0.0384641208575361,0.0658537473812755,0.250461336544803,0.225257869908778,0.275664803180829,0.970877131438449,0.859088788054613,1.08266547482228,0.0750178263415733,0.059390685862949,0.0906449668201975,2021
"5","COL",1540,"country","all","total",5.91145939632214,5.0645591618969,6.75835963074738,21.2920047453181,17.3387751899972,25.245234300639,0.79086883451005,0.764945435749056,0.816792233271043,0.0012648756387322,-0.000994680179666807,0.00352443145713121,0.00858931218534094,0.00181797366323829,0.0153606507074436,0.869786599174452,0.848623298191382,0.890949900157523,0.871774280393543,0.850210973011262,0.893337587775825,0.792133710148782,0.766266738680318,0.818000681617245,0.111051194134455,0.0918026302372777,0.130299758031633,0.0539119224051139,0.0405830156925166,0.0672408291177111,0.903184904283237,0.883433005115194,0.92293680345128,0.612714577511034,0.580119514446335,0.645309640575734,0.618556917204181,0.584451524323963,0.652662310084399,0.48425037858073,0.452018433604476,0.516482323556983,0.00114354454990558,-0.00109717294309878,0.00338426204290993,0.502514598746842,0.467037834510173,0.53799136298351,0.522936537149572,0.490304651835573,0.555568422463571,0.00686881230257989,0.00232703367993609,0.0114105909252237,0.00324994204947221,-0.000838512237789808,0.00733839633673423,0.285577680576923,0.257389041774282,0.313766319379564,0.00534421114561421,0.00143608458923898,0.00925233770198943,0.00882109648988614,-0.00460417757372064,0.0222463705534929,0.0263044871225264,-0.00593187632889118,0.058540850573944,0.438367230446458,0.311439002544747,0.56529545834817,0.0378971916301479,-0.00523857550242765,0.0810329587627234,0.0172763911953169,-0.0108009858499221,0.0453537682405559,0.815796144336008,0.790725914897356,0.84086637377466,0.0893502902911021,0.0717810940728321,0.106919486509372,0.0572746270463494,0.0412178337485651,0.0733314203441337,26.3662753900568,20.8868358145639,31.8457149655498,12.1010239349327,8.86450146033842,15.3375464095271,37.3974075582832,37.3974075582832,37.3974075582832,0,0,0,0,0,0,0.908155598879876,0.888186113243489,0.928125084516263,0.785929202710402,0.759364383816185,0.812494021604619,0.134183441741229,0.112079539212455,0.156287344270003,0.0118187572852663,0.00479226484207976,0.0188452497284528,0.931931401736897,0.915563883082118,0.948298920391676,0.722679159013098,0.693628365371277,0.751729952654918,0.121079704660772,0.100390287922567,0.141769121398976,0.00758601094432332,0.00219431667531273,0.0129777052133339,0.851344874618192,0.827516289478749,0.875173459757636,0.0242703778366146,0.0130646182666362,0.0354761374065931,0.0096471993796581,0.00263102304166248,0.0166633757176537,0.068068598263103,0.0517010796083236,0.0844361169178823,0.148655125381808,0.124826540242364,0.172483710521251,0.0909287110776739,0.072617759632635,0.109239662522713,1.36804839966793,1.22015851286305,1.51593828647281,0.0899790984670457,0.07117496281776,0.108783234116331,2021
"6","CRI",1510,"country","all","total",6.59950912454908,5.93951331022084,7.25950493887731,19.9973416425413,18.287374755279,21.7073085298035,0.919287878714986,0.903501870845555,0.935073886584417,0.00979769296033336,0.00395390118825449,0.0156414847324122,0.00214198516855913,-0.000312917347125265,0.00459688768424353,0.968796604531008,0.958750508215525,0.97884270084649,0.948957350448357,0.936242171236181,0.961672529660533,0.929085571675319,0.914259468323741,0.943911675026897,0.0488186245094376,0.0364242784341626,0.0612129705847126,0.010052059432954,0.00402946716253836,0.0160746517033697,0.977904196184757,0.969345643173498,0.986462749196016,0.741780458067193,0.715054018463777,0.768506897670608,0.744514668778412,0.717278357070982,0.771750980485842,0.68368945523455,0.655574253738353,0.711804656730747,0.00347703882840606,0.00014207678667582,0.0068120008701363,0.176534272540816,0.152999887601966,0.200068657479666,0.192187167424059,0.169023789060381,0.215350545787737,0.00718727607523509,0.00319403436916171,0.0111805177813085,0.000611158369748299,-0.000329665971631765,0.00155198271112836,0.124347417607817,0.105016981038701,0.143677854176933,0.00172925108424099,-0.000416226305583247,0.00387472847406522,0,0,0,0.0426043862664552,-0.0413120183731474,0.126520790906058,0.552126788278097,0.264169296323891,0.840084280232303,0.0712001351898284,-0.0650085652127023,0.207408835592359,0.144641382888472,-0.055157356366599,0.344440122143543,0.931017718721776,0.915870138003231,0.946165299440322,0.0413566057122951,0.0298969376414751,0.0528162737831152,0.00726427549245877,0.0021288306582911,0.0123997203266265,25.3424552731483,23.2984064269786,27.3865041193179,15.1981772118316,12.5438678270986,17.8524865965646,0,0,0,0.840184549583005,0.818084801692386,0.862284297473624,0.159815450416995,0.137715702526376,0.181915198307614,0.977539575609838,0.96827713192364,0.986802019296036,0.236203087954533,0.210302484332689,0.262103691576377,0.733261460244376,0.706380875694882,0.76014204479387,0.00596916881877834,0.00193271884958179,0.0100056187879749,0.975433717017687,0.965878321347236,0.984989112688138,0.228459955314705,0.202988735921643,0.253931174707768,0.718839401481954,0.691570052986191,0.746108749977717,0.00594192779048825,0.00192386040762646,0.00995999517335003,0.953241284587148,0.939913793303347,0.966568775870949,0.00253008057499328,-0.000343911225890034,0.00540407237587659,0.000817531559106033,-0.000784784474587328,0.00241984759279939,0.0245662829823128,0.0150108873118615,0.0341216786527641,0.0467587154128521,0.0334312241290509,0.0600862066966532,0.038787823057016,0.0282709073376241,0.049304738776408,0.29935967129655,0.225407340338609,0.37331200225449,0.0222115992159585,0.0128244619677593,0.0315987364641578,2021
"7","DOM",1528,"country","all","total",3.81375887097525,3.46432775825962,4.16318998369089,12.4258312441434,11.2929106712905,13.5587518169964,0.0228566332388361,0.012240249575439,0.0334730169022332,0.00340808362544596,-0.000606818299457685,0.00742298555034961,0.0367871507937421,0.0243450001592778,0.0492293014282065,0.0743805139525703,0.0564995113034392,0.0922615166017015,0.67110654445892,0.641785121626346,0.700427967291494,0.026264716864282,0.0149561554357958,0.0375732782927683,0.93759460400555,0.920918340561826,0.954270867449274,0.888765885345293,0.867532387311052,0.909999383379533,0.963859320869832,0.951151903968505,0.976566737771159,0.473587776611343,0.442002906855677,0.505172646367009,0.499704161301914,0.462320120550016,0.537088202053813,0.013403712350972,0.00479925307101516,0.0220081716309288,0.000615107812062721,-0.000243443016975873,0.00147365864110131,0.717581676386888,0.52824406152991,0.906919291243866,0.369856055162532,0.277073804048787,0.462638306276277,0.00118265796974995,-0.000577845451183378,0.00294316139068328,0,0,0,0.021276515196844,0.0113578336364771,0.0311951967572108,0.00205843172665829,-0.000833338427948241,0.00495020188126482,0,0,0,0.035041679076724,0.0223709110988236,0.0477124470546244,0.446998770818335,0.414485285088477,0.479512256548193,0.074863261408839,0.0563648650800753,0.0933616577376026,0.0158825959253103,0.00771121548509833,0.0240539763655223,0.665680026567654,0.636262023806255,0.695098029329053,0.259646254462933,0.232595202782253,0.286697306143613,0.0254124688568455,0.0149334011794108,0.0358915365342802,8.15116352145945,7.3853536438905,8.91697339902839,12.3887252391517,11.1285905772866,13.6488599010168,25.6237319894684,17.6313892111475,33.6160747677893,0,0,0,0,0,0,0.900780502444122,0.880916584680188,0.920644420208056,0.276328963394869,0.248350325645268,0.30430760114447,0.509243434913379,0.477204656283075,0.541282213543682,0.0430389523282854,0.0292265920435574,0.0568513126130134,0.828611350636533,0.803232854148406,0.853989847124661,0.259293340405937,0.232229753094291,0.286356927717583,0.466003745242947,0.434428705218953,0.497578785266941,0.028209880995655,0.0173855497922708,0.0390342121990392,0.753506966644539,0.724892900203928,0.782121033085151,0.0128854130936505,0.0058240250076538,0.0199468011796472,0.00077579862698928,-0.000744856608066756,0.00229645386204531,0.171388649363467,0.146010152875339,0.196767145851594,0.246493033355461,0.217878966914849,0.275107099796072,0.0150841936400639,0.0084513805356786,0.0217170067444493,0.582580957379844,0.471227777418181,0.693934137341507,0.0155804760387029,0.00762621214303007,0.0235347399343757,2021
"8","ECU",1464,"country","all","total",5.51036410918718,4.30309025034952,6.71763796802483,21.4836767046758,17.6802522360646,25.2871011732871,0.588501634418445,0.559449365591769,0.617553903245121,0.0364681995770338,0.0239271122480469,0.0490092869060206,0.0200487991604317,0.0112009598182276,0.0288966385026358,0.690353347327626,0.663628018005825,0.717078676649427,0.844562798136622,0.822642094517327,0.866483501755918,0.624969833995479,0.596606714998898,0.653332952992059,0.304636045673605,0.278113935520909,0.3311581558263,0.226844591911561,0.203605091744045,0.250084092079078,0.929605879669083,0.91368385635177,0.945527902986396,0.583138217600795,0.550843977059603,0.615432458141986,0.600636117202248,0.566231493093336,0.63504074131116,0.321100797123909,0.291935010969407,0.350266583278411,0.0166894836125545,0.00770068227201232,0.0256782849530967,0.66409589630271,0.627442679930822,0.700749112674597,0.679565858999258,0.646884617280393,0.712247100718123,0.00368522327049266,0.000795449755897886,0.00657499678508744,0.0020816055142788,2.49766613069509e-05,0.00413823436725066,0.328883279812986,0.300829267709213,0.356937291916759,0.00543473639333989,0.0011378462010726,0.00973162658560717,0,0,0,0.0135653140852248,-0.000362686785036044,0.0274933149554857,0.452055870195225,0.395535308895848,0.508576431494602,0.0574228392391107,0.0275822144702007,0.0872634640080206,0.0510365033070763,0.0264841672337658,0.0755888393803868,0.767246168893246,0.740361539552572,0.794130798233921,0.106880211235832,0.0882025821310407,0.125557840340623,0.0315325139872417,0.020341764231625,0.0427232637428584,24.6807411152587,18.6262301239582,30.7352521065593,13.8583248977294,11.9206918019012,15.7959579935576,51.0338064292766,13.9496621367942,88.117950721759,0,0,0,0,0,0,0.919879931107974,0.903390642621385,0.936369219594564,0.671442149393775,0.642689028606633,0.700195270180917,0.222947583599718,0.197276923834938,0.248618243364498,0.0248503217023933,0.0146090771742541,0.0350915662305325,0.919240054695887,0.902896058563636,0.935584050828137,0.621208102804584,0.591918104763733,0.650498100845436,0.204374832483993,0.179794991240405,0.228954673727581,0.0201349888252736,0.0111580435088745,0.0291119341416728,0.845717924113851,0.823820138713006,0.867615709514696,0.0197176652529507,0.0111248074120858,0.0283105230938156,0.00159479092372028,-0.000436782986126051,0.00362636483356662,0.0807599453041132,0.0644159491718627,0.0971039414363636,0.154282075886149,0.132384290485304,0.176179861286994,0.0549737134433135,0.0412642158377186,0.0686832110489084,1.13078568117531,0.982776622937313,1.27879473941331,0.0291467312632484,0.018422280082065,0.0398711824444319,2021
"9","GTM",1529,"country","all","total",3.71981311385641,3.30926423106854,4.13036199664428,15.1405427714795,13.1970297284648,17.0840558144941,0.409988180790424,0.380647792612099,0.439328568968749,0.019595589102752,0.0115515529679481,0.0276396252375559,0.00497606326932619,0.00148853288022598,0.0084635936584264,0.537212403337822,0.507608158987156,0.566816647688487,0.742231711503483,0.715599197593948,0.768864225413017,0.429583769893176,0.400083348948807,0.459084190837545,0.485253188598955,0.455567729859223,0.514938647338687,0.304093596942099,0.277433847549408,0.33075334633479,0.914836958492131,0.897373791033012,0.93230012595125,0.500505294294129,0.469006389450218,0.532004199138041,0.496361370402154,0.460589841844616,0.532132898959693,0.186971811583813,0.163054214017305,0.210889409150321,0.00616177457603318,0.00183157773962875,0.0104919714124376,0.802617475535084,0.76623789659491,0.838997054475259,0.792117385352798,0.763157563767643,0.821077206937952,0.00538667087612522,0.000231634500464864,0.0105417072517856,0.000907636729094574,-0.000871141705637243,0.00268641516382639,0.442121222624429,0.412640495575985,0.471601949672873,0.00231954912536137,0.000423011764783724,0.00421608648593902,0,0,0,0.0139406940575791,0.00250348383148501,0.0253779042836732,0.687887494223709,0.639276026790527,0.736498961656891,0.0281362179647546,0.012274886069631,0.0439975498598781,0.0213409623103486,0.00832643556018335,0.0343554890605139,0.698131738591719,0.669782930367539,0.726480546815899,0.220058674966475,0.195361049242469,0.24475630069048,0.0410087758538957,0.0283313115162426,0.0536862401915488,12.9560534494005,9.78045008198413,16.1316568168168,16.3446427194363,14.5051848693768,18.1841005694957,31.844973207813,21.8050941117319,41.8848523038942,0,0,0,0,0,0,0.910954437887754,0.893946734025733,0.927962141749774,0.611235686842072,0.580838761273638,0.641632612410507,0.275577193324686,0.24734515687168,0.303809229777692,0.0395902706161939,0.0272358456311683,0.0519446956012195,0.926403150782952,0.909920647107684,0.942885654458221,0.558684697411802,0.528568981384021,0.588800413439584,0.249816711776624,0.222923372372762,0.276710051180486,0.0347238192828829,0.0233086830536666,0.0461389555120991,0.84322522847131,0.821046343827784,0.865404113114835,0.0392970888902615,0.0273356668563215,0.0512585109242016,0.0192846768139818,0.010820056871184,0.0277492967567796,0.0735968492170476,0.0571143455417788,0.0900793528923163,0.15677477152869,0.134595886885165,0.178953656172216,0.061766583228888,0.0476479068783018,0.0758852595794741,0.916790832032649,0.796633056390701,1.0369486076746,0.0961235414015006,0.0785105744512865,0.113736508351715,2021
"10","GUY",1514,"country","all","total",6.53886043862549,5.91380363173535,7.16391724551563,22.8428975862619,21.1450213308125,24.5407738417114,0.125995705948379,0.104087652989198,0.147903758907561,0.0440982461732099,0.0319217659665703,0.0562747263798496,0.0142970708236823,0.00764887959062005,0.0209452620567446,0.340230079339203,0.309628487120521,0.370831671557884,0.762691032033032,0.733910798724548,0.791471265341516,0.170093952121589,0.145908186342842,0.194279717900337,0.753008410232879,0.725364354101865,0.780652466363893,0.577102669459078,0.545536468266558,0.608668870651598,0.923102362354468,0.906047393196222,0.940157331512714,0.544436774815506,0.506558518950158,0.582315030680853,0.53773616476939,0.498951881165933,0.576520448372846,0.0494151768417899,0.0358156451811939,0.0630147085023858,0.0141235123691104,0.00646447553215111,0.0217825492060697,0.63284952804435,0.554649195631615,0.711049860457086,0.533593777512468,0.484699053899007,0.582488501125928,0.00300654655333718,-0.000715875074899984,0.00672896818157434,0.00198212241679779,-0.000345870077207693,0.00431011491080327,0.148910345333387,0.127043842539998,0.170776848126777,0.00127941452407837,-0.000507128996128503,0.00306595804428524,0.00960231851261993,0.00213319391610451,0.0170714431091353,0.0226324787515623,0.0109023878595033,0.0343625696436214,0.65625235889326,0.616930157010867,0.695574560775653,0.0239134102687218,0.0105893468657471,0.0372374736716966,0.0219110184699106,0.00990474318191254,0.0339172937579087,0.724446115834059,0.694156819271186,0.754735412396932,0.105952974983512,0.0864403132377316,0.125465636729292,0.0195723953884883,0.0106429425469813,0.0285018482299953,25.8762121100074,23.5237802896278,28.2286439303869,17.5583491900741,15.9847743024493,19.1319240776989,0,0,0,0.544694216642278,0.513799505851857,0.5755889274327,0.455305783357722,0.4244110725673,0.486200494148143,0.873654504753503,0.852325273400416,0.89498373610659,0.0713018910508348,0.0565853387481474,0.0860184433535221,0.827657758661051,0.804165233562017,0.851150283760086,0.0321208378015112,0.0214278705087531,0.0428138050942692,0.931080487513397,0.914045457982211,0.948115517044584,0.0630689609662505,0.0492073999813209,0.0769305219511801,0.724874406110615,0.696661026322104,0.753087785899126,0.0259054360437181,0.016236055173689,0.0355748169137472,0.813848803120583,0.788478293259806,0.839219312981361,0.0107650957610544,0.00351331681184114,0.0180168747102677,0.00201918598241091,-0.00193380553454702,0.00597217749936883,0.0689195124866026,0.0518844829554158,0.0859545420177894,0.186151196879416,0.160780687018639,0.211521706740194,0,0,0,0.144950542959152,0.0994807129626752,0.190420372955629,0.00410071065229357,0.000584591415024984,0.00761682988956217,2021
